,1w_exp,1m_exp,3m_exp,1y_exp
al_lme_prices_log_returns,-0.03989708007686824,-0.025278427277279532,-0.04602838755078858,-0.046678516094684444
al_lme_prices_daily_returns,-0.03242526704563307,-0.02004105749615422,-0.042198146558332365,-0.04374251486605297
us_dollar_index,0.10725462185638174,0.169644976760355,0.2849431999456897,0.5908558535515069
canadian_dollar_spot,-0.15097550164101617,-0.1934493250900183,-0.10634690049578448,0.11301013131171847
emirate_dirham_spot,0.007106861688659875,0.004663546997519445,-0.00852519653341336,-0.1387687720769661
russian_ruble_spot,0.11033148938750933,0.12813356828983286,0.12710811408652603,0.17497227740722862
nor_krone_spot,0.06415908550671369,0.09346416285367518,0.1775736053765443,0.4309160164066978
australian_dollar_spot,-0.009838201260251863,-0.005381537938296561,0.07371497420583939,0.3417960909268208
malaysian_ringgit_spot,0.03250743129899382,0.05493001817127279,0.1059061564469206,0.3660002603760328
euro_spot,0.1030360923253292,0.16296271988692596,0.26680528293236694,0.5459371734124567
japanese_yen_spot,0.15079323367189845,0.22877416191341535,0.3443379292154257,0.5954400521637665
mexican_peso_spot,0.032475623511086925,0.0362499390455498,0.07210945642851617,-0.15276937593963574
south_korean_won_spot,0.13154650043740776,0.1797886137445312,0.2952512381302186,0.5616270705121577
china_yuan_spot,-0.1878500451655976,-0.24751134015052612,-0.22819714722762777,0.08073378625792317
uk_pound_spot,0.008511720794475996,0.021219817693713994,0.08679585430302807,0.4340383239476218
indian_rupee_spot,0.17500637567015206,0.25966818136344916,0.3786386711102108,0.6136223869260307
al_lme_closing_stock,-0.22313865462212537,-0.32912786092472834,-0.4846709445516022,-0.7298109684401624
al_comex_stocks,-0.006629786395971964,-0.023949749833356185,-0.11461780568865951,-0.3693934443160934
al_shfe_stocks,-0.013523426518430972,0.010102692303560059,0.01340038314786879,-0.12012640653849072
al_lme_cancelled_warrants,-0.05919088967735724,-0.08604022222742391,-0.1637131220506125,-0.28614451109116007
al_lme_delivered_out,0.030097775483198624,0.01779241342715028,-0.05967951665467831,-0.21494651257078362
al_lme_delivered_in,-0.08932003158052854,-0.09368621556552685,-0.13972104431635565,-0.1453118321840284
pct_change_indpro_us,0.2519363807419306,0.3480150265123994,0.41651705166928626,0.3614177530477163
vdax_index,0.15274329031824183,0.13036089161012954,0.12120836580125566,0.0652490117952032
vix,0.15598366660212032,0.14862772025968193,0.1806407384607549,0.13702382673514035
10yr_tips,-0.007097025765591468,0.02782863676292859,0.12727912656407891,0.40982658806129496
ftse_bric_50_index,-0.14185909672292532,-0.21627022409201982,-0.3126534631860582,-0.5834656836210109
msci_em_europe_index,-0.049167158122233406,-0.08629631560255638,-0.17091916822434414,-0.4470404894220867
msci_europe_index,0.15180040138561093,0.22982252671141915,0.2958186756639068,0.16421317899930438
us_treasuries_2y,0.11823149873880703,0.20494521953268974,0.32777814458766463,0.6405620879098309
us_treasuries_10y,0.11860329096763049,0.2027279849698261,0.3308327518513879,0.586209420624713
spx_small_cap_index,0.31053042043393136,0.4378744590619457,0.5387592966765675,0.5154926840746182
spx_index,0.20432618725105195,0.2943004806694607,0.3945396181425183,0.4497324963865501
eurostoxx_banks_index,-0.015882576682975633,-0.00748935982867247,0.03364087816948692,-0.05617416084366925
eurostoxx_50_index,0.10712598603009008,0.1703109941503779,0.26143402040972064,0.2948837572049619
bdi,0.24467632905205058,0.30369143031177404,0.30174658802737725,0.14009888895892847
china_300,0.12309333806987116,0.13771304838563556,0.11764464108539478,-0.1132984021723624
china_gdp_agr,-0.03862333634320128,-0.05693366019695545,-0.07268457734664054,-0.16479506659343982
germany_gdp_agr,0.14734317053633753,0.2007440172934925,0.25141698487018216,0.1972445458782455
japan_gdp_agr,0.11952076793453824,0.15663188571637088,0.20422828550505956,0.23777471418035281
us_gdp_agr,0.17269003216282633,0.2186842620567495,0.26715903922790407,0.2245313866594092
china_caixin_pmi,-0.16373462647507733,-0.22717902385840352,-0.2953514056965633,-0.3570330964054277
germany_pmi,0.11835482989027386,0.14459761656205783,0.11266431266073869,-0.17471211829731595
japan_pmi,0.20301938730040872,0.2846941410655995,0.32583177740130526,0.1953356537369868
us_pmi,0.15929111690556796,0.2071689321627627,0.206981429607042,-0.040909383556664375
al_lme_prices_abs_log_returns,0.5204498345780578,0.35969793868675437,0.2736546295353427,0.22522315282439154
